Platform,Campaign,Ad_Set,Name,Number,Email,Business,Website_other,prospect_id,qr_target_url,qa_ready,mail_ready,address,notes
Direct Mail,jesse-238,Business,,,,Orthodontic Associates of Collegeville,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dr-weiss-s-office/,J238-062,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dr-weiss-s-office/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-062,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Electrical,,,,"Dunryte Electric, Inc.",https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dunryte-electric-inc/,J238-063,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dunryte-electric-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-063,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Dutton Road Veterinary Clinic,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dutton-road-veterinary-clinic/,J238-064,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/dutton-road-veterinary-clinic/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-064,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Home Services,,,,E & E cleaning services,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/e-and-e-cleaning/,J238-065,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/e-and-e-cleaning/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-065,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Eastern Dragon,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/eastern-dragon/,J238-066,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/eastern-dragon/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-066,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Historic Site,,,,Eastern State Penitentiary,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/eastern-state/,J238-067,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/eastern-state/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-067,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Easy Auto Tag & Insurance,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/easy-auto-tag-insurance/,J238-068,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/easy-auto-tag-insurance/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-068,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,"Eisenberg, Rothweiler, Winkler, Eisenberg & Jeck",https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/eisenberg-rothweiler/,J238-069,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/eisenberg-rothweiler/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-069,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Electric Direct,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/electric-direct/,J238-070,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/electric-direct/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-070,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
Direct Mail,jesse-238,Business,,,,Elite Philly Auto Parts,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/elite-auto-parts/,J238-071,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/elite-auto-parts/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-071,ready,hold,,phones/emails stay in the Google Sheet; this repo is public
