id,name,slug,issue,drop
91,"Eisenberg, Rothweiler, Winkler, Eisenberg & Jeck",eisenberg-rothweiler,design,0
92,Electric Direct,electric-direct,design,0
93,Elverson Supply,elverson-supply,design,0
94,Faulkner Buick GMC,faulkner-buick-gmc,design,0
95,Fillman & Sons Floors & More,fillman-and-sons-floors,design,0
96,Floral and Hardy of Skippack,floral-and-hardy,design,0
97,Frederick W. Oster Fine Violins,oster-fine-violins,design,0
98,Fredo's Deli,fredo-s-deli,design,0
99,Glen Eagle Pediatric Dentistry,glen-eagle-pediatric-dentistry,design,0
100,GO2 Tech,go2tech,design,0
101,Hamburg Animal Hospital,hamburg-animal-hospital,design,0
102,Harry's Hotdogs,harry-s-hotdogs,design,0
103,HaverCrown Dental,havercrown-dental,design,0
104,Home Furnishing Consignment,home-furnishings-consignment,design,0
105,Jarman Sales & Service,jarman-hvac,design,0
106,Johnny's Pizza & Pasta,johnnys-pizza,design,0
107,Katana Pittsburgh,katana,design,0
108,L. A. Verruni Landscaping,verruni-landscaping,design,0
109,Legacy Jewelers,legacy-jewelers,design,0
110,Live Urgent Care King of Prussia,live-urgent-care,design,0
111,MacLaren Kitchen and Bath,maclaren-kitchen-and-bath,design,0
112,Malvern Vision Care,malvern-vision-care,design,0
113,McMenamin & Margiotti,mcmenamin-margiotti,design,0
114,Metalmorphose Ironworks,metalmorphose-iron-studio,design,0
115,Nicky's Thai Kitchen Downtown,nicky-s-thai-kitchen,design,0
116,Nottingham Creamery,nottingham-creamery,design,0
117,Oaks Italian Deli And Pizzeria,oaks-italian-deli,design,0
118,OpenArc,openarc,design,0
119,OSS Health,oss-health,design,0
120,Peking Gourmet,peking-gourmet,design,0
121,Pennsylvania Dental Group,pennsylvania-dental-group,design,0
122,Philadelphia Garage,philadelphia-garage,design,0
123,Pipe Xpress,pipe-xpress,design,0
124,Plastic & Reconstructive Surgical Solutions,plastic-surgery-solutions,design,0
125,Pro Nails,pro-nails,design,0
126,Radiance Dental,radiance-dental,design,0
127,Reardon Dental Exton,reardon-dental,design,0
128,Riley Rodzianko & Clymer LLP,riley-rodzianko-and-clymer-llp,design,0
129,Salter's Fireplace,salters-fireplace,design,0
130,Sciacca Service Center,sciacca-service-center,design,0
131,Scott Lot,scott-lot,design,0
132,Sesame Inn,sesame-inn,design,0
133,Southampton Hot Tub,southampton-hot-tub,design,0
134,The New Pennsburg Diner,new-pennsburg-diner,design,0
135,THR Insurance,thr-insurance,design,0
136,Train and Nourish,train-and-nourish,design,0
137,WJA Landscaping,wja-landscaping,design,0
138,Wynnewood Eye Care,wynnewood-eyecare,design,0
